GeographyKey,GeographyLevel,GeographyName,CountryCode,CountryName,RegionCode,RegionName,OldLocalAuthorityCode,LocalAuthorityCode,LocalAuthorityName,GeographyLevelSort,MapLocation,AreaLabel
LA|E09000026,Local authority,Redbridge,E92000001,England,E12000007,London,317,E09000026,Redbridge,3,"Redbridge, England",Redbridge (London)
LA|E09000027,Local authority,Richmond upon Thames,E92000001,England,E12000007,London,318,E09000027,Richmond upon Thames,3,"Richmond upon Thames, England",Richmond upon Thames (London)
LA|E09000028,Local authority,Southwark,E92000001,England,E12000007,London,210,E09000028,Southwark,3,"Southwark, England",Southwark (London)
LA|E09000029,Local authority,Sutton,E92000001,England,E12000007,London,319,E09000029,Sutton,3,"Sutton, England",Sutton (London)
LA|E09000030,Local authority,Tower Hamlets,E92000001,England,E12000007,London,211,E09000030,Tower Hamlets,3,"Tower Hamlets, England",Tower Hamlets (London)
LA|E09000031,Local authority,Waltham Forest,E92000001,England,E12000007,London,320,E09000031,Waltham Forest,3,"Waltham Forest, England",Waltham Forest (London)
LA|E09000032,Local authority,Wandsworth,E92000001,England,E12000007,London,212,E09000032,Wandsworth,3,"Wandsworth, England",Wandsworth (London)
LA|E09000033,Local authority,Westminster,E92000001,England,E12000007,London,213,E09000033,Westminster,3,"Westminster, England",Westminster (London)
LA|E06000047,Local authority,County Durham,E92000001,England,E12000001,North East,840,E06000047,County Durham,3,"County Durham, England",County Durham (North East)
LA|E06000005,Local authority,Darlington,E92000001,England,E12000001,North East,841,E06000005,Darlington,3,"Darlington, England",Darlington (North East)
LA|E08000020,Local authority,Gateshead,E92000001,England,E12000001,North East,390,E08000020,Gateshead,3,"Gateshead, England",Gateshead (North East)
LA|E08000037,Local authority,Gateshead,E92000001,England,E12000001,North East,390,E08000037,Gateshead,3,"Gateshead, England",Gateshead (North East)
LA|E06000001,Local authority,Hartlepool,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,3,"Hartlepool, England",Hartlepool (North East)
LA|E06000002,Local authority,Middlesbrough,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,3,"Middlesbrough, England",Middlesbrough (North East)
LA|E08000021,Local authority,Newcastle upon Tyne,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3,"Newcastle upon Tyne, England",Newcastle upon Tyne (North East)
LA|E08000022,Local authority,North Tyneside,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,3,"North Tyneside, England",North Tyneside (North East)
LA|E06000048,Local authority,Northumberland,E92000001,England,E12000001,North East,929,E06000048,Northumberland,3,"Northumberland, England",Northumberland (North East)
LA|E06000057,Local authority,Northumberland,E92000001,England,E12000001,North East,929,E06000057,Northumberland,3,"Northumberland, England",Northumberland (North East)
LA|E06000003,Local authority,Redcar and Cleveland,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,3,"Redcar and Cleveland, England",Redcar and Cleveland (North East)
LA|E08000023,Local authority,South Tyneside,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,3,"South Tyneside, England",South Tyneside (North East)
LA|E06000004,Local authority,Stockton-on-Tees,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,3,"Stockton-on-Tees, England",Stockton-on-Tees (North East)
LA|E08000024,Local authority,Sunderland,E92000001,England,E12000001,North East,394,E08000024,Sunderland,3,"Sunderland, England",Sunderland (North East)
